data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100;
set S := s1 s2 s3;
param N := 16;
set R := r1 r2;

#=========================
# Scheduling / Processing
#=========================
param p : s1 s2 s3 :=
  t1 4 7 8
  t2 1 7 7
  t3 5 9 3
  t4 4 10 6
  t5 10 9 1
  t6 2 4 2
  t7 10 10 7
  t8 4 4 7
  t9 8 2 8
  t10 9 9 3
  t11 4 5 8
  t12 9 9 2
  t13 2 9 5
  t14 4 4 9
  t15 1 7 1
  t16 3 3 9
  t17 1 2 9
  t18 10 7 1
  t19 1 4 2
  t20 7 4 3
  t21 3 7 5
  t22 7 8 4
  t23 5 4 4
  t24 5 5 9
  t25 6 2 3
  t26 2 6 7
  t27 10 5 7
  t28 9 6 2
  t29 6 5 7
  t30 5 4 7
  t31 10 7 5
  t32 7 8 8
  t33 8 2 9
  t34 4 4 3
  t35 4 10 8
  t36 4 8 4
  t37 2 4 9
  t38 9 2 3
  t39 9 8 9
  t40 8 5 5
  t41 5 2 4
  t42 6 3 4
  t43 4 7 6
  t44 1 7 10
  t45 7 1 5
  t46 9 8 5
  t47 1 6 3
  t48 10 7 2
  t49 8 1 7
  t50 8 6 5
  t51 2 1 6
  t52 1 4 1
  t53 3 2 8
  t54 3 3 2
  t55 10 7 2
  t56 5 10 6
  t57 2 1 8
  t58 6 3 3
  t59 9 8 10
  t60 4 5 4
  t61 10 6 8
  t62 8 6 6
  t63 5 9 2
  t64 8 8 8
  t65 5 7 5
  t66 9 7 6
  t67 5 4 4
  t68 9 4 8
  t69 9 2 5
  t70 3 1 5
  t71 9 3 2
  t72 5 8 6
  t73 5 2 7
  t74 10 3 10
  t75 4 9 10
  t76 7 8 10
  t77 10 10 4
  t78 2 4 9
  t79 1 8 5
  t80 5 8 4
  t81 4 2 3
  t82 2 3 10
  t83 2 5 5
  t84 2 7 10
  t85 2 10 5
  t86 8 5 10
  t87 2 6 6
  t88 3 7 5
  t89 1 2 5
  t90 7 9 7
  t91 9 10 8
  t92 5 5 8
  t93 10 3 9
  t94 7 4 8
  t95 8 9 7
  t96 4 9 7
  t97 9 2 7
  t98 5 5 10
  t99 8 6 9
  t100 6 4 4
;

param S_time : s1 s2 s3 :=
  t1 1 3 1
  t2 1 0 2
  t3 3 3 1
  t4 0 0 0
  t5 3 1 0
  t6 0 3 1
  t7 0 0 2
  t8 2 2 1
  t9 2 0 0
  t10 1 2 2
  t11 2 1 2
  t12 0 2 1
  t13 0 1 2
  t14 2 2 3
  t15 0 2 0
  t16 2 3 3
  t17 0 1 0
  t18 1 1 2
  t19 2 1 2
  t20 1 1 3
  t21 2 1 1
  t22 0 1 3
  t23 1 0 3
  t24 0 2 3
  t25 0 2 2
  t26 3 2 0
  t27 1 0 0
  t28 1 3 2
  t29 0 2 2
  t30 1 3 1
  t31 2 0 2
  t32 2 3 1
  t33 1 2 2
  t34 2 1 0
  t35 3 0 3
  t36 3 3 1
  t37 3 1 3
  t38 1 3 3
  t39 2 3 3
  t40 3 1 3
  t41 3 2 2
  t42 0 1 3
  t43 0 3 3
  t44 1 3 0
  t45 3 2 3
  t46 1 1 3
  t47 3 3 3
  t48 0 0 3
  t49 1 2 2
  t50 2 3 3
  t51 3 0 1
  t52 0 1 1
  t53 3 1 2
  t54 0 2 0
  t55 3 1 1
  t56 0 0 3
  t57 2 3 0
  t58 3 3 2
  t59 3 3 2
  t60 0 3 3
  t61 3 0 2
  t62 1 2 2
  t63 0 1 1
  t64 1 3 0
  t65 1 1 2
  t66 2 2 3
  t67 2 0 2
  t68 1 1 2
  t69 2 1 1
  t70 2 1 0
  t71 2 3 0
  t72 3 3 1
  t73 3 0 3
  t74 0 1 2
  t75 0 3 1
  t76 3 2 3
  t77 0 0 1
  t78 1 1 0
  t79 3 3 0
  t80 2 0 2
  t81 3 1 2
  t82 0 2 2
  t83 3 3 3
  t84 0 2 2
  t85 1 0 0
  t86 3 1 3
  t87 3 3 2
  t88 2 3 3
  t89 3 2 2
  t90 0 3 0
  t91 2 3 0
  t92 1 3 0
  t93 1 2 0
  t94 0 0 0
  t95 2 2 3
  t96 3 1 1
  t97 1 2 2
  t98 0 2 3
  t99 3 2 3
  t100 1 3 3
;

#=========================
# Resource Demands / Capacity
#=========================
param d : r1 r2 :=
  t1 1 1
  t2 3 2
  t3 2 2
  t4 1 1
  t5 4 1
  t6 1 1
  t7 2 2
  t8 1 2
  t9 4 2
  t10 4 3
  t11 1 2
  t12 4 3
  t13 3 2
  t14 2 3
  t15 1 1
  t16 4 1
  t17 3 3
