#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300 t301 t302 t303 t304 t305 t306 t307 t308 t309 t310 t311 t312 t313 t314 t315 t316 t317 t318 t319 t320 t321 t322 t323 t324 t325 t326 t327 t328 t329 t330 t331 t332 t333 t334 t335 t336 t337 t338 t339 t340 t341 t342 t343 t344 t345 t346 t347 t348 t349 t350 t351 t352 t353 t354 t355 t356 t357 t358 t359 t360 t361 t362 t363 t364 t365 t366 t367 t368 t369 t370 t371 t372 t373 t374 t375 t376 t377 t378 t379 t380 t381 t382 t383 t384 t385 t386 t387 t388 t389 t390 t391 t392 t393 t394 t395 t396 t397 t398 t399 t400 t401 t402 t403 t404 t405 t406 t407 t408 t409 t410 t411 t412 t413 t414 t415 t416 t417 t418 t419 t420 t421 t422 t423 t424 t425 t426 t427 t428 t429 t430 t431 t432 t433 t434 t435 t436 t437 t438 t439 t440 t441 t442 t443 t444 t445 t446 t447 t448 t449 t450 t451 t452 t453 t454 t455 t456 t457 t458 t459 t460 t461 t462 t463 t464 t465 t466 t467 t468 t469 t470 t471 t472 t473 t474 t475 t476 t477 t478 t479 t480 t481 t482 t483 t484 t485 t486 t487 t488 t489 t490 t491 t492 t493 t494 t495 t496 t497 t498 t499 t500 t501 t502 t503 t504 t505 t506 t507 t508 t509 t510 t511 t512 t513 t514 t515 t516 t517 t518 t519 t520 t521 t522 t523 t524 t525 t526 t527 t528 t529 t530 t531 t532 t533 t534 t535 t536 t537 t538 t539 t540 t541 t542 t543 t544 t545 t546 t547 t548 t549 t550 t551 t552 t553 t554 t555 t556 t557 t558 t559 t560 t561 t562 t563 t564 t565 t566 t567 t568 t569 t570 t571 t572 t573 t574 t575 t576 t577 t578 t579 t580 t581 t582 t583 t584 t585 t586 t587 t588 t589 t590 t591 t592 t593 t594 t595 t596 t597 t598 t599 t600 t601 t602 t603 t604 t605 t606 t607 t608 t609 t610 t611 t612 t613 t614 t615 t616 t617 t618 t619 t620 t621 t622 t623 t624 t625 t626 t627 t628 t629 t630 t631 t632 t633 t634 t635 t636 t637 t638 t639 t640 t641 t642 t643 t644 t645 t646 t647 t648 t649 t650 t651 t652 t653 t654 t655 t656 t657 t658 t659 t660 t661 t662 t663 t664 t665 t666 t667 t668 t669 t670 t671 t672 t673 t674 t675 t676 t677 t678 t679 t680 t681 t682 t683 t684 t685 t686 t687 t688 t689 t690 t691 t692 t693 t694 t695 t696 t697 t698 t699 t700 t701 t702 t703 t704 t705 t706 t707 t708 t709 t710 t711 t712 t713 t714 t715 t716 t717 t718 t719 t720 t721 t722 t723 t724 t725 t726 t727 t728 t729 t730 t731 t732 t733 t734 t735 t736 t737 t738 t739 t740 t741 t742 t743 t744 t745 t746 t747 t748 t749 t750 t751 t752 t753 t754 t755 t756 t757 t758 t759 t760 t761 t762 t763 t764 t765 t766 t767 t768 t769 t770 t771 t772 t773 t774 t775 t776 t777 t778 t779 t780 t781 t782 t783 t784 t785 t786 t787 t788 t789 t790 t791 t792 t793 t794 t795 t796 t797 t798 t799 t800 t801 t802 t803 t804 t805 t806 t807 t808 t809 t810 t811 t812 t813 t814 t815 t816 t817 t818 t819 t820 t821 t822 t823 t824 t825 t826 t827 t828 t829 t830 t831 t832 t833 t834 t835 t836 t837 t838 t839 t840 t841 t842 t843 t844 t845 t846 t847 t848 t849 t850 t851 t852 t853 t854 t855 t856 t857 t858 t859 t860 t861 t862 t863 t864 t865 t866 t867 t868 t869 t870 t871 t872 t873 t874 t875 t876 t877 t878 t879 t880 t881 t882 t883 t884 t885 t886 t887 t888 t889 t890 t891 t892 t893 t894 t895 t896 t897 t898 t899 t900 t901 t902 t903 t904 t905 t906 t907 t908 t909 t910 t911 t912 t913 t914 t915 t916 t917 t918 t919 t920 t921 t922 t923 t924 t925 t926 t927 t928 t929 t930 t931 t932 t933 t934 t935 t936 t937 t938 t939 t940 t941 t942 t943 t944 t945 t946 t947 t948 t949 t950 t951 t952 t953 t954 t955 t956 t957 t958 t959 t960 t961 t962 t963 t964 t965 t966 t967 t968 t969 t970 t971 t972 t973 t974 t975 t976 t977 t978 t979 t980 t981 t982 t983 t984 t985 t986 t987 t988 t989 t990 t991 t992 t993 t994 t995 t996 t997 t998 t999 t1000;
set S := s1 s2 s3;
#param N := 141;
param N := 171;
set R := r1 r2;

#=========================
# Scheduling / Processing
#=========================
param p : s1 s2 s3 :=
  t1 4 3 1
  t2 9 7 5
  t3 2 6 9
  t4 5 10 2
  t5 9 8 6
  t6 4 2 4
  t7 4 5 8
  t8 5 9 8
  t9 6 6 7
  t10 4 1 9
  t11 3 6 7
  t12 9 5 8
  t13 6 3 3
  t14 1 1 7
  t15 2 1 9
  t16 1 8 1
  t17 1 9 1
  t18 2 9 4
  t19 9 6 7
  t20 7 10 4
  t21 1 7 7
  t22 1 2 7
  t23 2 4 10
  t24 1 5 3
  t25 4 7 5
  t26 4 9 7
  t27 9 1 7
  t28 6 6 5
  t29 4 9 7
  t30 7 10 4
  t31 5 7 7
  t32 2 1 8
  t33 2 2 7
  t34 9 2 2
  t35 2 7 5
  t36 2 10 7
  t37 5 5 3
  t38 7 7 8
  t39 5 8 8
  t40 5 7 10
  t41 8 7 5
  t42 4 6 7
  t43 8 6 5
  t44 2 10 9
  t45 4 5 7
  t46 5 5 7
  t47 8 10 9
  t48 1 9 2
  t49 3 10 6
  t50 1 5 9
  t51 6 8 6
  t52 2 7 2
  t53 5 8 9
  t54 8 8 6
  t55 1 1 2
  t56 9 9 6
  t57 4 3 7
  t58 10 8 7
  t59 4 2 9
  t60 6 8 5
  t61 6 10 10
  t62 6 10 5
  t63 6 4 2
  t64 3 7 10
  t65 3 9 9
  t66 5 3 8
  t67 1 3 7
  t68 8 8 3
  t69 1 5 5
  t70 5 8 9
  t71 2 9 9
  t72 9 7 4
  t73 8 6 8
  t74 4 10 3
  t75 4 10 9
  t76 9 6 5
  t77 2 7 5
  t78 4 6 7
  t79 10 7 8
  t80 7 6 8
  t81 1 8 2
  t82 7 8 6
  t83 9 10 6
  t84 2 1 3
  t85 1 4 5
  t86 2 5 6
  t87 7 4 2
  t88 4 2 10
  t89 8 1 2
  t90 8 4 2
  t91 6 5 7
  t92 2 10 8
  t93 3 10 4
  t94 3 10 6
  t95 3 5 4
  t96 5 9 7
  t97 4 7 4
  t98 2 6 3
  t99 7 9 8
  t100 10 1 4
  t101 7 9 7
  t102 9 5 5
  t103 4 9 7
  t104 7 1 2
  t105 8 5 2
  t106 1 8 9
  t107 6 5 1
  t108 5 5 8
  t109 6 8 6
  t110 2 4 1
  t111 1 6 3
  t112 9 4 4
  t113 5 10 2
  t114 4 7 8
  t115 6 9 1
  t116 5 10 8
  t117 8 9 3
  t118 1 9 1
  t119 7 2 9
  t120 8 3 2
  t121 9 6 2
  t122 3 2 7
  t123 5 6 6
  t124 5 2 3
  t125 2 8 6
  t126 9 4 5
  t127 2 3 10
  t128 6 2 6
  t129 1 5 1
  t130 9 2 2
  t131 1 4 4
  t132 2 2 2
  t133 3 6 1
  t134 3 7 1
  t135 3 4 5
  t136 3 10 5
  t137 9 1 5
  t138 7 9 9
  t139 6 9 6
  t140 5 1 10
  t141 5 8 10
  t142 2 4 9
  t143 10 6 3
  t144 6 10 6
  t145 4 9 3
  t146 2 4 1
  t147 6 3 3
  t148 1 10 2
  t149 6 10 6
  t150 3 7 6
  t151 10 4 7
  t152 3 1 10
  t153 10 10 10
  t154 3 2 6
  t155 2 8 5
  t156 2 5 1
  t157 8 3 8
  t158 9 2 10
  t159 8 1 1
  t160 2 6 7
  t161 9 6 1
  t162 10 3 2
  t163 4 9 5
  t164 2 7 3
  t165 1 2 10
  t166 2 4 5
  t167 2 7 8
  t168 9 3 7
  t169 8 5 8
  t170 5 3 2
  t171 7 9 7
  t172 8 8 2
  t173 9 2 3
  t174 4 1 2
  t175 3 6 2
  t176 7 5 1
  t177 7 3 2
  t178 9 7 7
  t179 10 1 5
  t180 10 1 6
  t181 8 6 6
  t182 5 2 3
  t183 6 7 4
  t184 7 9 1
  t185 5 3 3
  t186 1 1 1
  t187 5 8 2
  t188 6 10 3
  t189 9 6 5
  t190 1 1 10
  t191 4 5 9
  t192 8 3 4
  t193 5 7 6
  t194 4 5 10
  t195 9 9 5
  t196 2 5 5
  t197 4 9 1
  t198 3 8 5
  t199 7 10 6
  t200 8 9 3
  t201 2 3 9
  t202 2 6 5
  t203 6 10 8
  t204 1 8 9
  t205 9 7 3
  t206 6 10 3
  t207 2 6 6
  t208 8 4 10
  t209 2 10 7
  t210 8 1 9
  t211 1 9 1
  t212 4 5 2
  t213 10 3 1
  t214 8 7 6
  t215 4 7 4
  t216 4 10 2
  t217 7 9 10
  t218 1 2 8
  t219 9 8 4
  t220 7 9 10
  t221 2 5 2
  t222 10 5 6
  t223 3 9 4
  t224 4 1 2
  t225 2 2 4
  t226 5 1 3
  t227 6 7 2
  t228 3 6 8
  t229 6 3 7
  t230 5 8 3
  t231 1 2 10
  t232 8 10 6
  t233 8 2 8
  t234 5 1 6
  t235 4 6 3
  t236 3 8 2
  t237 4 5 9
  t238 7 4 8
  t239 8 8 6
  t240 1 7 1
  t241 10 9 8
  t242 1 8 9
  t243 8 2 1
  t244 5 2 3
  t245 7 5 4
  t246 4 4 2
  t247 10 8 10
  t248 1 9 10
  t249 3 3 7
  t250 7 10 5
  t251 5 3 7
  t252 6 4 10
  t253 3 9 2
  t254 8 9 7
  t255 2 7 1
  t256 5 5 3
  t257 4 6 2
  t258 7 9 1
  t259 7 9 1
  t260 10 4 10
  t261 5 3 3
  t262 2 1 5
  t263 3 1 8
  t264 3 10 10
  t265 10 2 9
  t266 9 9 7
  t267 6 4 6
  t268 4 9 2
  t269 4 1 7
  t270 5 1 9
  t271 1 4 9
  t272 3 2 4
  t273 4 2 1
  t274 1 2 3
  t275 2 5 7
  t276 7 1 2
  t277 2 2 9
  t278 5 5 7
  t279 8 9 3
  t280 5 5 1
  t281 1 10 9
  t282 4 4 9
  t283 3 10 4
  t284 10 9 9
  t285 2 2 10
  t286 6 4 5
  t287 6 8 10
  t288 3 6 3
  t289 4 7 6
  t290 8 8 5
  t291 2 10 5
  t292 4 2 1
  t293 10 10 1
  t294 9 3 7
  t295 5 8 7
  t296 1 10 9
  t297 3 10 8
  t298 4 4 5
  t299 1 9 7
  t300 1 6 9
