data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200;
set S := s1 s2 s3;
param N := 23;
set R := r1 r2;

#=========================
# Scheduling / Processing
#=========================
param p : s1 s2 s3 :=
  t1 10 2 5
  t2 3 1 8
  t3 7 7 7
  t4 1 7 3
  t5 9 2 3
  t6 9 8 9
  t7 8 5 5
  t8 5 2 4
  t9 6 3 4
  t10 4 7 6
  t11 1 7 10
  t12 7 1 5
  t13 9 8 5
  t14 1 6 3
  t15 10 7 2
  t16 8 1 7
  t17 8 6 5
  t18 2 1 6
  t19 1 4 1
  t20 3 2 8
  t21 3 3 2
  t22 10 7 2
  t23 5 10 6
  t24 2 1 8
  t25 6 3 3
  t26 9 8 10
  t27 4 5 4
  t28 10 6 8
  t29 8 6 6
  t30 5 9 2
  t31 8 8 8
  t32 5 7 5
  t33 9 7 6
  t34 5 4 4
  t35 9 4 8
  t36 9 2 5
  t37 3 1 5
  t38 9 3 2
  t39 5 8 6
  t40 5 2 7
  t41 10 3 10
  t42 4 9 10
  t43 7 8 10
  t44 10 10 4
  t45 2 4 9
  t46 1 8 5
  t47 5 8 4
  t48 4 2 3
  t49 2 3 10
  t50 2 5 5
  t51 2 7 10
  t52 2 10 5
  t53 8 5 10
  t54 2 6 6
  t55 3 7 5
  t56 1 2 5
  t57 7 9 7
  t58 9 10 8
  t59 5 5 8
  t60 10 3 9
  t61 7 4 8
  t62 8 9 7
  t63 4 9 7
  t64 9 2 7
  t65 5 5 10
  t66 8 6 9
  t67 6 4 4
  t68 6 7 3
  t69 3 2 2
  t70 3 3 8
  t71 10 2 9
  t72 8 10 4
  t73 2 2 8
  t74 1 6 5
  t75 7 4 10
  t76 3 10 10
  t77 10 4 5
  t78 1 5 2
  t79 10 7 8
  t80 7 2 7
  t81 5 1 5
  t82 1 5 10
  t83 4 3 1
  t84 1 3 5
  t85 3 3 9
  t86 5 5 2
  t87 3 7 2
  t88 5 8 5
  t89 2 8 10
  t90 4 8 7
  t91 1 5 2
  t92 9 7 6
  t93 3 2 10
  t94 1 4 8
  t95 2 9 1
  t96 4 8 4
  t97 6 3 2
  t98 4 6 10
  t99 3 9 3
  t100 3 6 10
  t101 3 1 7
  t102 8 6 8
  t103 1 8 1
  t104 7 8 2
  t105 10 2 5
  t106 10 8 2
  t107 4 8 7
  t108 7 2 7
  t109 6 8 2
  t110 7 6 9
  t111 9 2 6
  t112 5 6 10
  t113 8 2 9
  t114 5 7 10
  t115 3 5 6
  t116 3 2 1
  t117 4 7 6
  t118 5 10 1
  t119 10 2 8
  t120 10 7 4
  t121 7 5 9
  t122 4 10 1
  t123 4 5 6
  t124 8 3 7
  t125 9 2 1
  t126 8 6 10
  t127 5 7 6
  t128 8 2 2
  t129 10 9 7
  t130 4 3 9
  t131 9 6 3
  t132 3 4 10
  t133 3 8 10
  t134 3 2 8
  t135 10 6 5
  t136 1 6 2
  t137 10 8 8
  t138 10 9 1
  t139 6 9 1
  t140 8 6 5
  t141 6 6 6
  t142 7 5 6
  t143 3 5 3
  t144 9 6 9
  t145 9 1 5
  t146 6 4 3
  t147 5 9 6
  t148 7 3 10
  t149 1 6 8
  t150 4 5 4
  t151 8 5 9
  t152 4 5 8
  t153 2 5 3
  t154 9 7 4
  t155 1 1 9
  t156 7 6 1
  t157 6 3 5
  t158 8 10 2
  t159 4 9 2
  t160 5 1 7
  t161 2 10 9
  t162 5 1 4
  t163 2 2 7
  t164 7 5 6
  t165 4 10 3
  t166 9 3 8
  t167 2 1 4
  t168 1 5 9
  t169 1 5 1
  t170 2 7 8
  t171 3 8 9
  t172 7 7 9
  t173 2 6 5
  t174 7 8 8
  t175 10 5 2
  t176 9 1 10
  t177 3 4 6
  t178 1 8 6
  t179 10 9 7
  t180 4 1 8
  t181 2 5 4
  t182 4 3 8
  t183 2 6 9
  t184 3 6 2
  t185 4 1 9
  t186 9 10 2
  t187 8 7 3
  t188 8 9 3
  t189 7 2 5
  t190 6 6 2
