#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300;
set S := s1 s2 s3;
#param N := 43;
param N := 45;
set R := r1 r2;

#=========================
# Scheduling / Processing
#=========================
param p : s1 s2 s3 :=
  t1 5 8 7
  t2 8 5 4
  t3 6 9 4
  t4 5 2 5
  t5 3 1 5
  t6 9 3 2
  t7 5 8 6
  t8 5 2 7
  t9 10 3 10
  t10 4 9 10
  t11 7 8 10
  t12 10 10 4
  t13 2 4 9
  t14 1 8 5
  t15 5 8 4
  t16 4 2 3
  t17 2 3 10
  t18 2 5 5
  t19 2 7 10
  t20 2 10 5
  t21 8 5 10
  t22 2 6 6
  t23 3 7 5
  t24 1 2 5
  t25 7 9 7
  t26 9 10 8
  t27 5 5 8
  t28 10 3 9
  t29 7 4 8
  t30 8 9 7
  t31 4 9 7
  t32 9 2 7
  t33 5 5 10
  t34 8 6 9
  t35 6 4 4
  t36 6 7 3
  t37 3 2 2
  t38 3 3 8
  t39 10 2 9
  t40 8 10 4
  t41 2 2 8
  t42 1 6 5
  t43 7 4 10
  t44 3 10 10
  t45 10 4 5
  t46 1 5 2
  t47 10 7 8
  t48 7 2 7
  t49 5 1 5
  t50 1 5 10
  t51 4 3 1
  t52 1 3 5
  t53 3 3 9
  t54 5 5 2
  t55 3 7 2
  t56 5 8 5
  t57 2 8 10
  t58 4 8 7
  t59 1 5 2
  t60 9 7 6
  t61 3 2 10
  t62 1 4 8
  t63 2 9 1
  t64 4 8 4
  t65 6 3 2
  t66 4 6 10
  t67 3 9 3
  t68 3 6 10
  t69 3 1 7
  t70 8 6 8
  t71 1 8 1
  t72 7 8 2
  t73 10 2 5
  t74 10 8 2
  t75 4 8 7
  t76 7 2 7
  t77 6 8 2
  t78 7 6 9
  t79 9 2 6
  t80 5 6 10
  t81 8 2 9
  t82 5 7 10
  t83 3 5 6
  t84 3 2 1
  t85 4 7 6
  t86 5 10 1
  t87 10 2 8
  t88 10 7 4
  t89 7 5 9
  t90 4 10 1
  t91 4 5 6
  t92 8 3 7
  t93 9 2 1
  t94 8 6 10
  t95 5 7 6
  t96 8 2 2
  t97 10 9 7
  t98 4 3 9
  t99 9 6 3
  t100 3 4 10
  t101 3 8 10
  t102 3 2 8
  t103 10 6 5
  t104 1 6 2
  t105 10 8 8
  t106 10 9 1
  t107 6 9 1
  t108 8 6 5
  t109 6 6 6
  t110 7 5 6
  t111 3 5 3
  t112 9 6 9
  t113 9 1 5
  t114 6 4 3
  t115 5 9 6
  t116 7 3 10
  t117 1 6 8
  t118 4 5 4
  t119 8 5 9
  t120 4 5 8
  t121 2 5 3
  t122 9 7 4
  t123 1 1 9
  t124 7 6 1
  t125 6 3 5
  t126 8 10 2
  t127 4 9 2
  t128 5 1 7
  t129 2 10 9
  t130 5 1 4
  t131 2 2 7
  t132 7 5 6
  t133 4 10 3
  t134 9 3 8
  t135 2 1 4
  t136 1 5 9
  t137 1 5 1
  t138 2 7 8
  t139 3 8 9
  t140 7 7 9
  t141 2 6 5
  t142 7 8 8
  t143 10 5 2
  t144 9 1 10
  t145 3 4 6
  t146 1 8 6
  t147 10 9 7
  t148 4 1 8
  t149 2 5 4
  t150 4 3 8
  t151 2 6 9
  t152 3 6 2
  t153 4 1 9
  t154 9 10 2
  t155 8 7 3
  t156 8 9 3
  t157 7 2 5
  t158 6 6 2
  t159 9 3 10
