data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300 t301 t302 t303 t304 t305 t306 t307 t308 t309 t310 t311 t312 t313 t314 t315 t316 t317 t318 t319 t320 t321 t322 t323 t324 t325 t326 t327 t328 t329 t330 t331 t332 t333 t334 t335 t336 t337 t338 t339 t340 t341 t342 t343 t344 t345 t346 t347 t348 t349 t350 t351 t352 t353 t354 t355 t356 t357 t358 t359 t360 t361 t362 t363 t364 t365 t366 t367 t368 t369 t370 t371 t372 t373 t374 t375 t376 t377 t378 t379 t380 t381 t382 t383 t384 t385 t386 t387 t388 t389 t390 t391 t392 t393 t394 t395 t396 t397 t398 t399 t400;
set S := s1 s2 s3;
param N := 51;
set R := r1 r2;

#=========================
# Scheduling / Processing
#=========================
param p : s1 s2 s3 :=
  t1 5 3 9
  t2 6 8 4
  t3 7 7 6
  t4 7 8 3
  t5 8 9 1
  t6 3 8 6
  t7 6 6 9
  t8 2 5 2
  t9 2 3 1
  t10 1 6 7
  t11 9 10 3
  t12 10 10 8
  t13 8 8 1
  t14 9 2 6
  t15 5 5 7
  t16 4 10 10
  t17 1 5 10
  t18 8 4 4
  t19 5 2 5
  t20 10 3 5
  t21 3 3 9
  t22 5 5 2
  t23 3 7 2
  t24 5 8 5
  t25 2 8 10
  t26 4 8 7
  t27 1 5 2
  t28 9 7 6
  t29 3 2 10
  t30 1 4 8
  t31 2 9 1
  t32 4 8 4
  t33 6 3 2
  t34 4 6 10
  t35 3 9 3
  t36 3 6 10
  t37 3 1 7
  t38 8 6 8
  t39 1 8 1
  t40 7 8 2
  t41 10 2 5
  t42 10 8 2
  t43 4 8 7
  t44 7 2 7
  t45 6 8 2
  t46 7 6 9
  t47 9 2 6
  t48 5 6 10
  t49 8 2 9
  t50 5 7 10
  t51 3 5 6
  t52 3 2 1
  t53 4 7 6
  t54 5 10 1
  t55 10 2 8
  t56 10 7 4
  t57 7 5 9
  t58 4 10 1
  t59 4 5 6
  t60 8 3 7
  t61 9 2 1
  t62 8 6 10
  t63 5 7 6
  t64 8 2 2
  t65 10 9 7
  t66 4 3 9
  t67 9 6 3
  t68 3 4 10
  t69 3 8 10
  t70 3 2 8
  t71 10 6 5
  t72 1 6 2
  t73 10 8 8
  t74 10 9 1
  t75 6 9 1
  t76 8 6 5
  t77 6 6 6
  t78 7 5 6
  t79 3 5 3
  t80 9 6 9
  t81 9 1 5
  t82 6 4 3
  t83 5 9 6
  t84 7 3 10
  t85 1 6 8
  t86 4 5 4
  t87 8 5 9
  t88 4 5 8
  t89 2 5 3
  t90 9 7 4
  t91 1 1 9
  t92 7 6 1
  t93 6 3 5
  t94 8 10 2
  t95 4 9 2
  t96 5 1 7
  t97 2 10 9
  t98 5 1 4
  t99 2 2 7
  t100 7 5 6
  t101 4 10 3
  t102 9 3 8
  t103 2 1 4
  t104 1 5 9
  t105 1 5 1
  t106 2 7 8
  t107 3 8 9
  t108 7 7 9
  t109 2 6 5
  t110 7 8 8
  t111 10 5 2
  t112 9 1 10
  t113 3 4 6
  t114 1 8 6
  t115 10 9 7
  t116 4 1 8
  t117 2 5 4
  t118 4 3 8
  t119 2 6 9
  t120 3 6 2
  t121 4 1 9
  t122 9 10 2
  t123 8 7 3
  t124 8 9 3
  t125 7 2 5
  t126 6 6 2
  t127 9 3 10
  t128 3 3 10
  t129 2 10 4
  t130 1 9 5
