data;

#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300 t301 t302 t303 t304 t305 t306 t307 t308 t309 t310 t311 t312 t313 t314 t315 t316 t317 t318 t319 t320 t321 t322 t323 t324 t325 t326 t327 t328 t329 t330 t331 t332 t333 t334 t335 t336 t337 t338 t339 t340 t341 t342 t343 t344 t345 t346 t347 t348 t349 t350 t351 t352 t353 t354 t355 t356 t357 t358 t359 t360 t361 t362 t363 t364 t365 t366 t367 t368 t369 t370 t371 t372 t373 t374 t375 t376 t377 t378 t379 t380 t381 t382 t383 t384 t385 t386 t387 t388 t389 t390 t391 t392 t393 t394 t395 t396 t397 t398 t399 t400 t401 t402 t403 t404 t405 t406 t407 t408 t409 t410 t411 t412 t413 t414 t415 t416 t417 t418 t419 t420 t421 t422 t423 t424 t425 t426 t427 t428 t429 t430 t431 t432 t433 t434 t435 t436 t437 t438 t439 t440 t441 t442 t443 t444 t445 t446 t447 t448 t449 t450 t451 t452 t453 t454 t455 t456 t457 t458 t459 t460 t461 t462 t463 t464 t465 t466 t467 t468 t469 t470 t471 t472 t473 t474 t475 t476 t477 t478 t479 t480 t481 t482 t483 t484 t485 t486 t487 t488 t489 t490 t491 t492 t493 t494 t495 t496 t497 t498 t499 t500;
set S := s1 s2 s3;
param N := 70;
set R := r1 r2;

#=========================
# Scheduling / Processing
#=========================
param p : s1 s2 s3 :=
  t1 1 6 3
  t2 9 10 4
  t3 10 5 3
  t4 2 3 6
  t5 6 3 1
  t6 9 2 8
  t7 10 8 10
  t8 5 1 8
  t9 2 8 2
  t10 3 3 10
  t11 10 8 2
  t12 4 8 7
  t13 7 2 7
  t14 6 8 2
  t15 7 6 9
  t16 9 2 6
  t17 5 6 10
  t18 8 2 9
  t19 5 7 10
  t20 3 5 6
  t21 3 2 1
  t22 4 7 6
  t23 5 10 1
  t24 10 2 8
  t25 10 7 4
  t26 7 5 9
  t27 4 10 1
  t28 4 5 6
  t29 8 3 7
  t30 9 2 1
  t31 8 6 10
  t32 5 7 6
  t33 8 2 2
  t34 10 9 7
  t35 4 3 9
  t36 9 6 3
  t37 3 4 10
  t38 3 8 10
  t39 3 2 8
  t40 10 6 5
  t41 1 6 2
  t42 10 8 8
  t43 10 9 1
  t44 6 9 1
  t45 8 6 5
  t46 6 6 6
  t47 7 5 6
  t48 3 5 3
  t49 9 6 9
  t50 9 1 5
  t51 6 4 3
  t52 5 9 6
  t53 7 3 10
  t54 1 6 8
  t55 4 5 4
  t56 8 5 9
  t57 4 5 8
  t58 2 5 3
  t59 9 7 4
  t60 1 1 9
  t61 7 6 1
  t62 6 3 5
  t63 8 10 2
  t64 4 9 2
  t65 5 1 7
  t66 2 10 9
  t67 5 1 4
  t68 2 2 7
  t69 7 5 6
  t70 4 10 3
  t71 9 3 8
  t72 2 1 4
  t73 1 5 9
  t74 1 5 1
  t75 2 7 8
  t76 3 8 9
  t77 7 7 9
  t78 2 6 5
  t79 7 8 8
  t80 10 5 2
  t81 9 1 10
  t82 3 4 6
  t83 1 8 6
  t84 10 9 7
  t85 4 1 8
  t86 2 5 4
  t87 4 3 8
  t88 2 6 9
  t89 3 6 2
  t90 4 1 9
  t91 9 10 2
  t92 8 7 3
  t93 8 9 3
  t94 7 2 5
  t95 6 6 2
  t96 9 3 10
  t97 3 3 10
  t98 2 10 4
  t99 1 9 5
  t100 7 8 1
  t101 7 8 6
  t102 6 7 6
  t103 4 2 8
  t104 2 5 10
  t105 3 10 4
  t106 9 8 8
  t107 7 4 10
  t108 1 8 5
  t109 7 5 7
  t110 7 10 6
  t111 7 9 10
  t112 2 6 9
  t113 4 9 1
  t114 6 9 3
  t115 10 3 10
  t116 6 10 8
  t117 6 7 1
  t118 10 1 3
  t119 4 10 4
  t120 6 3 4
  t121 10 1 9
  t122 6 9 6
  t123 9 9 5
  t124 4 9 4
  t125 4 6 6
  t126 2 7 3
  t127 5 6 5
  t128 4 9 3
  t129 10 4 9
  t130 1 7 8
  t131 1 7 8
  t132 6 1 10
  t133 1 7 1
  t134 3 1 5
  t135 5 9 3
  t136 4 6 8
  t137 1 5 3
  t138 9 2 2
  t139 8 4 5
  t140 8 6 10
  t141 6 1 8
  t142 7 2 6
  t143 3 3 10
  t144 9 9 4
  t145 8 2 1
  t146 9 3 9
  t147 4 2 1
  t148 9 8 9
  t149 1 5 4
