#=========================
# Sets
#=========================
set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100 t101 t102 t103 t104 t105 t106 t107 t108 t109 t110 t111 t112 t113 t114 t115 t116 t117 t118 t119 t120 t121 t122 t123 t124 t125 t126 t127 t128 t129 t130 t131 t132 t133 t134 t135 t136 t137 t138 t139 t140 t141 t142 t143 t144 t145 t146 t147 t148 t149 t150 t151 t152 t153 t154 t155 t156 t157 t158 t159 t160 t161 t162 t163 t164 t165 t166 t167 t168 t169 t170 t171 t172 t173 t174 t175 t176 t177 t178 t179 t180 t181 t182 t183 t184 t185 t186 t187 t188 t189 t190 t191 t192 t193 t194 t195 t196 t197 t198 t199 t200 t201 t202 t203 t204 t205 t206 t207 t208 t209 t210 t211 t212 t213 t214 t215 t216 t217 t218 t219 t220 t221 t222 t223 t224 t225 t226 t227 t228 t229 t230 t231 t232 t233 t234 t235 t236 t237 t238 t239 t240 t241 t242 t243 t244 t245 t246 t247 t248 t249 t250 t251 t252 t253 t254 t255 t256 t257 t258 t259 t260 t261 t262 t263 t264 t265 t266 t267 t268 t269 t270 t271 t272 t273 t274 t275 t276 t277 t278 t279 t280 t281 t282 t283 t284 t285 t286 t287 t288 t289 t290 t291 t292 t293 t294 t295 t296 t297 t298 t299 t300 t301 t302 t303 t304 t305 t306 t307 t308 t309 t310 t311 t312 t313 t314 t315 t316 t317 t318 t319 t320 t321 t322 t323 t324 t325 t326 t327 t328 t329 t330 t331 t332 t333 t334 t335 t336 t337 t338 t339 t340 t341 t342 t343 t344 t345 t346 t347 t348 t349 t350 t351 t352 t353 t354 t355 t356 t357 t358 t359 t360 t361 t362 t363 t364 t365 t366 t367 t368 t369 t370 t371 t372 t373 t374 t375 t376 t377 t378 t379 t380 t381 t382 t383 t384 t385 t386 t387 t388 t389 t390 t391 t392 t393 t394 t395 t396 t397 t398 t399 t400 t401 t402 t403 t404 t405 t406 t407 t408 t409 t410 t411 t412 t413 t414 t415 t416 t417 t418 t419 t420 t421 t422 t423 t424 t425 t426 t427 t428 t429 t430 t431 t432 t433 t434 t435 t436 t437 t438 t439 t440 t441 t442 t443 t444 t445 t446 t447 t448 t449 t450 t451 t452 t453 t454 t455 t456 t457 t458 t459 t460 t461 t462 t463 t464 t465 t466 t467 t468 t469 t470 t471 t472 t473 t474 t475 t476 t477 t478 t479 t480 t481 t482 t483 t484 t485 t486 t487 t488 t489 t490 t491 t492 t493 t494 t495 t496 t497 t498 t499 t500 t501 t502 t503 t504 t505 t506 t507 t508 t509 t510 t511 t512 t513 t514 t515 t516 t517 t518 t519 t520 t521 t522 t523 t524 t525 t526 t527 t528 t529 t530 t531 t532 t533 t534 t535 t536 t537 t538 t539 t540 t541 t542 t543 t544 t545 t546 t547 t548 t549 t550 t551 t552 t553 t554 t555 t556 t557 t558 t559 t560 t561 t562 t563 t564 t565 t566 t567 t568 t569 t570 t571 t572 t573 t574 t575 t576 t577 t578 t579 t580 t581 t582 t583 t584 t585 t586 t587 t588 t589 t590 t591 t592 t593 t594 t595 t596 t597 t598 t599 t600 t601 t602 t603 t604 t605 t606 t607 t608 t609 t610 t611 t612 t613 t614 t615 t616 t617 t618 t619 t620 t621 t622 t623 t624 t625 t626 t627 t628 t629 t630 t631 t632 t633 t634 t635 t636 t637 t638 t639 t640 t641 t642 t643 t644 t645 t646 t647 t648 t649 t650 t651 t652 t653 t654 t655 t656 t657 t658 t659 t660 t661 t662 t663 t664 t665 t666 t667 t668 t669 t670 t671 t672 t673 t674 t675 t676 t677 t678 t679 t680 t681 t682 t683 t684 t685 t686 t687 t688 t689 t690 t691 t692 t693 t694 t695 t696 t697 t698 t699 t700;
set S := s1 s2 s3;
#param N := 94;
param N := 104;
set R := r1 r2;

#=========================
# Scheduling / Processing
#=========================
param p : s1 s2 s3 :=
  t1 9 3 7
  t2 6 10 3
  t3 6 9 7
  t4 7 5 6
  t5 4 10 3
  t6 9 3 8
  t7 2 1 4
  t8 1 5 9
  t9 1 5 1
  t10 2 7 8
  t11 3 8 9
  t12 7 7 9
  t13 2 6 5
  t14 7 8 8
  t15 10 5 2
  t16 9 1 10
  t17 3 4 6
  t18 1 8 6
  t19 10 9 7
  t20 4 1 8
  t21 2 5 4
  t22 4 3 8
  t23 2 6 9
  t24 3 6 2
  t25 4 1 9
  t26 9 10 2
  t27 8 7 3
  t28 8 9 3
  t29 7 2 5
  t30 6 6 2
  t31 9 3 10
  t32 3 3 10
  t33 2 10 4
  t34 1 9 5
  t35 7 8 1
  t36 7 8 6
  t37 6 7 6
  t38 4 2 8
  t39 2 5 10
  t40 3 10 4
  t41 9 8 8
  t42 7 4 10
  t43 1 8 5
  t44 7 5 7
  t45 7 10 6
  t46 7 9 10
  t47 2 6 9
  t48 4 9 1
  t49 6 9 3
  t50 10 3 10
  t51 6 10 8
  t52 6 7 1
  t53 10 1 3
  t54 4 10 4
  t55 6 3 4
  t56 10 1 9
  t57 6 9 6
  t58 9 9 5
  t59 4 9 4
  t60 4 6 6
  t61 2 7 3
  t62 5 6 5
  t63 4 9 3
  t64 10 4 9
  t65 1 7 8
  t66 1 7 8
  t67 6 1 10
  t68 1 7 1
  t69 3 1 5
  t70 5 9 3
  t71 4 6 8
  t72 1 5 3
  t73 9 2 2
  t74 8 4 5
  t75 8 6 10
  t76 6 1 8
  t77 7 2 6
  t78 3 3 10
  t79 9 9 4
  t80 8 2 1
  t81 9 3 9
  t82 4 2 1
  t83 9 8 9
  t84 1 5 4
  t85 7 2 2
  t86 5 3 7
  t87 8 7 9
  t88 2 9 9
  t89 1 5 9
  t90 7 4 6
  t91 4 1 10
  t92 4 2 8
  t93 1 8 9
  t94 3 4 10
  t95 5 9 7
  t96 1 7 1
  t97 9 7 3
  t98 3 4 5
  t99 1 7 7
  t100 4 2 6
  t101 4 5 10
  t102 4 8 6
  t103 4 2 4
  t104 4 5 8
  t105 5 9 8
  t106 6 6 7
  t107 4 1 9
  t108 3 6 7
  t109 9 5 8
  t110 6 3 3
  t111 1 1 7
  t112 2 1 9
  t113 1 8 1
  t114 1 9 1
  t115 2 9 4
  t116 9 6 7
  t117 7 10 4
  t118 1 7 7
  t119 1 2 7
  t120 2 4 10
  t121 1 5 3
  t122 4 7 5
  t123 4 9 7
  t124 9 1 7
  t125 6 6 5
  t126 4 9 7
  t127 7 10 4
  t128 5 7 7
  t129 2 1 8
  t130 2 2 7
  t131 9 2 2
  t132 2 7 5
  t133 2 10 7
  t134 5 5 3
  t135 7 7 8
  t136 5 8 8
  t137 5 7 10
  t138 8 7 5
  t139 4 6 7
  t140 8 6 5
  t141 2 10 9
  t142 4 5 7
  t143 5 5 7
  t144 8 10 9
  t145 1 9 2
  t146 3 10 6
  t147 1 5 9
  t148 6 8 6
  t149 2 7 2
  t150 5 8 9
  t151 8 8 6
  t152 1 1 2
  t153 9 9 6
  t154 4 3 7
  t155 10 8 7
  t156 4 2 9
  t157 6 8 5
  t158 6 10 10
  t159 6 10 5
  t160 6 4 2
  t161 3 7 10
  t162 3 9 9
  t163 5 3 8
  t164 1 3 7
  t165 8 8 3
  t166 1 5 5
  t167 5 8 9
  t168 2 9 9
  t169 9 7 4
  t170 8 6 8
  t171 4 10 3
  t172 4 10 9
  t173 9 6 5
  t174 2 7 5
  t175 4 6 7
  t176 10 7 8
  t177 7 6 8
  t178 1 8 2
  t179 7 8 6
  t180 9 10 6
  t181 2 1 3
  t182 1 4 5
  t183 2 5 6
  t184 7 4 2
  t185 4 2 10
  t186 8 1 2
  t187 8 4 2
  t188 6 5 7
  t189 2 10 8
  t190 3 10 4
  t191 3 10 6
  t192 3 5 4
  t193 5 9 7
  t194 4 7 4
  t195 2 6 3
  t196 7 9 8
  t197 10 1 4
  t198 7 9 7
  t199 9 5 5
  t200 4 9 7
  t201 7 1 2
  t202 8 5 2
  t203 1 8 9
  t204 6 5 1
  t205 5 5 8
  t206 6 8 6
  t207 2 4 1
  t208 1 6 3
  t209 9 4 4
  t210 5 10 2
