set T := t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t13 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 t25 t26 t27 t28 t29 t30 t31 t32 t33 t34 t35 t36 t37 t38 t39 t40 t41 t42 t43 t44 t45 t46 t47 t48 t49 t50 t51 t52 t53 t54 t55 t56 t57 t58 t59 t60 t61 t62 t63 t64 t65 t66 t67 t68 t69 t70 t71 t72 t73 t74 t75 t76 t77 t78 t79 t80 t81 t82 t83 t84 t85 t86 t87 t88 t89 t90 t91 t92 t93 t94 t95 t96 t97 t98 t99 t100;

set S := s1 s2 s3 s4 s5;

param N := 15;

set  K := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param p : s1 s2 s3 s4 s5 :=
  t1 4 10 9 6 3 
  t2 3 6 1 10 1 
  t3 10 3 6 6 5 
  t4 5 6 8 7 10 
  t5 7 3 1 3 10 
  t6 1 8 3 6 1 
  t7 8 5 10 4 2 
  t8 9 7 5 3 9 
  t9 3 2 3 10 2 
  t10 9 9 10 7 7 
  t11 5 5 5 1 7 
  t12 5 5 9 9 9 
  t13 6 6 4 7 3 
  t14 1 9 3 10 7 
  t15 6 8 1 9 7 
  t16 10 4 1 6 9 
  t17 3 4 6 8 1 
  t18 4 10 4 5 3 
  t19 7 2 10 8 4 
  t20 8 9 2 4 3 
  t21 8 2 7 7 5 
  t22 5 7 6 10 6 
  t23 2 5 1 8 1 
  t24 5 4 7 7 7 
  t25 7 1 10 8 6 
  t26 10 3 10 5 6 
  t27 1 7 8 9 3 
  t28 1 2 10 6 6 
  t29 1 2 4 2 9 
  t30 8 1 6 1 6 
  t31 7 3 5 7 3 
  t32 10 3 7 5 9 
  t33 1 3 3 3 8 
  t34 1 9 1 9 7 
  t35 3 6 10 2 2 
  t36 9 3 5 4 5 
  t37 6 5 5 9 8 
  t38 3 8 9 3 1 
  t39 10 3 9 1 6 
  t40 2 4 8 10 4 
  t41 8 9 3 6 3 
  t42 8 9 1 9 2 
  t43 9 6 1 2 2 
  t44 7 10 6 10 8 
  t45 6 7 9 6 2 
  t46 3 6 1 3 3 
  t47 1 6 10 4 1 
  t48 7 1 5 7 1 
  t49 10 3 6 2 7 
  t50 1 8 6 10 10 
  t51 5 5 10 8 7 
  t52 3 1 8 5 4 
  t53 7 2 6 2 2 
  t54 1 6 1 3 7 
  t55 10 1 6 8 9 
  t56 8 8 2 1 9 
  t57 7 5 1 9 2 
  t58 2 6 6 2 8 
  t59 1 3 9 5 1 
  t60 1 7 6 3 9 
  t61 3 3 3 3 4 
  t62 10 6 1 8 7 
  t63 1 4 4 5 6 
  t64 3 4 6 4 3 
  t65 7 8 6 10 3 
  t66 7 10 1 3 10 
  t67 1 7 3 3 1 
  t68 1 6 9 1 1 
  t69 1 2 10 10 3 
  t70 3 7 1 7 7 
  t71 10 6 4 3 6 
  t72 9 4 9 7 2 
  t73 3 7 10 6 2 
  t74 7 7 4 8 7 
  t75 4 7 4 8 7 
  t76 10 2 5 5 9 
  t77 6 9 1 10 10 
  t78 8 4 5 1 10 
  t79 6 7 2 9 1 
  t80 3 7 1 7 7 
  t81 7 2 8 10 8 
  t82 3 3 6 8 7 
  t83 3 10 5 9 2 
  t84 6 6 3 6 8 
  t85 9 1 4 5 3 
  t86 10 6 5 7 1 
  t87 5 9 7 1 7 
  t88 5 7 4 6 3 
  t89 3 2 10 6 3 
  t90 1 7 10 7 8 
  t91 2 2 7 9 9 
  t92 3 3 3 4 3 
  t93 4 1 9 3 8 
  t94 6 10 5 6 2 
  t95 7 5 3 6 9 
  t96 6 9 3 7 9 
  t97 5 4 7 6 7 
  t98 8 9 5 7 7 
  t99 2 3 3 1 10 
  t100 10 9 2 4 10 
;

param d :=
  t1 5
  t2 5
  t3 1
  t4 3
  t5 5
  t6 2
  t7 4
  t8 1
  t9 1
  t10 1
  t11 1
  t12 3
  t13 4
  t14 3
  t15 1
  t16 4
  t17 3
  t18 5
  t19 3
  t20 4
  t21 2
  t22 2
  t23 5
  t24 5
  t25 1
  t26 5
  t27 2
  t28 1
  t29 2
  t30 5
  t31 4
  t32 5
  t33 2
  t34 4
  t35 4
  t36 3
  t37 1
  t38 5
  t39 2
  t40 4
  t41 2
  t42 4
  t43 5
  t44 1
  t45 4
  t46 1
  t47 5
  t48 4
  t49 3
  t50 2
  t51 5
  t52 4
  t53 1
  t54 4
  t55 5
  t56 1
  t57 3
  t58 5
  t59 4
  t60 5
  t61 4
  t62 4
  t63 3
  t64 2
  t65 2
  t66 5
  t67 3
  t68 2
  t69 3
  t70 5
  t71 2
  t72 4
  t73 1
  t74 1
  t75 4
  t76 4
  t77 5
  t78 4
  t79 5
  t80 1
  t81 3
  t82 4
  t83 2
  t84 1
  t85 3
  t86 2
  t87 3
  t88 1
  t89 2
  t90 1
  t91 2
  t92 5
  t93 5
  t94 2
  t95 1
  t96 1
  t97 4
  t98 5
  t99 5
  t100 4
;

param r :=
  s1 11
  s2 17
  s3 18
  s4 15
  s5 15
;

#param largeM := 100;
